Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/joke,59587,0,190.0,154.38788122422503,0.6441829999985771,497.43104100000045,9.998321781596657,1005.0872047998616,0.0,190,210,230,230,250,260,280,290,310,460,500
POST,/api/joke,6029,0,190.0,153.0542528095866,0.79504899999705,447.1421010000007,0.0,101.69450983836013,0.0,190,210,230,230,250,270,280,290,310,450,450
,Aggregated,65616,0,190.0,154.26534334151702,0.6441829999985771,497.43104100000045,9.079645208485735,1106.7817146382217,0.0,190,210,230,230,250,260,280,290,310,450,500
