Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/joke,56481,0,220.0,181.5218926156946,0.7133060000015234,690.9493549999936,9.99645898620775,939.804070123479,0.0,220,250,260,270,290,330,400,460,580,680,690
POST,/api/joke,5590,0,220.0,182.03777384168083,0.8460439999993241,665.3090770000034,0.0,93.01366392220832,0.0,220,250,260,270,290,330,390,470,580,670,670
,Aggregated,62071,0,220.0,181.56835192927608,0.7133060000015234,690.9493549999936,9.096196291343784,1032.8177340456875,0.0,220,250,260,270,290,330,400,460,580,680,690
