Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/joke,183246,0,14,19.05935841437739,1.8772690000012915,389.328514999999,11.500409285878,3045.6983473752484,0.0,14,21,27,30,41,50,65,75,110,190,390
POST,/api/joke,18490,0,14,19.245794072309366,2.122167999999647,291.4394870000017,1.0,307.31891797348015,0.0,14,22,27,31,41,51,65,75,110,240,290
,Aggregated,201736,0,14,19.07644607010151,1.8772690000012915,389.328514999999,10.53800015862315,3353.017265348729,0.0,14,21,27,31,41,50,65,75,110,190,390
