Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/joke,184780,0,13,17.989949593532845,1.7818050000002472,194.0722509999999,227.66257170689468,3065.868274630889,0.0,13,20,25,28,39,49,63,73,120,180,190
POST,/api/joke,18560,0,13,18.146394105226285,2.0252110000011925,175.756217,0.0,307.9473708039252,0.0,13,20,25,28,40,50,64,74,120,170,180
,Aggregated,203340,0,13,18.00422917520409,1.7818050000002472,194.0722509999999,206.8825120487853,3373.815645434814,0.0,13,20,25,28,39,49,63,74,120,180,190
