Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/joke,58300,0,200.0,164.0272650254186,0.8752259999980083,490.1431700000032,10.0,983.8493447627612,0.0,200,220,240,250,270,290,350,400,460,490,490
POST,/api/joke,5881,0,200.0,164.01075493895613,0.9148059999999347,472.7319879999996,10.0,99.24559170754372,0.0,200,230,240,250,270,300,350,400,470,470,470
,Aggregated,64181,0,200.0,164.02575218176634,0.8752259999980083,490.1431700000032,10.0,1083.094936470305,0.0,200,220,240,250,270,290,350,400,460,480,490
