Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/joke,169290,0,20,38.365420812121194,1.7697599999983993,5471.057231,377.31330852383485,2820.4722676795873,0.0,20,29,35,40,55,71,100,150,3600,5300,5500
POST,/api/joke,17016,0,21,38.01883425146925,2.1394490000012922,5335.075298,0.0,283.49669860497283,0.0,21,29,36,41,56,72,110,150,3300,5100,5300
,Aggregated,186306,0,20,38.333765809512286,1.7697599999983993,5471.057231,342.85192103313904,3103.96896628456,0.0,20,29,35,40,55,71,100,150,3500,5300,5500
